哀愁
黄
恍惚
灰心
诙谐
辉煌
晦涩
浑
浑厚
浑浊
混沌
混乱
豁达
豁朗
活
活泼
活跃
火暴
机警
机灵
机智
积极
激昂
激动
激进
激烈
及时
吉利
急
急促
急躁
集中
挤
寂寞
假
尖
尖刻
尖锐
奸猾
奸诈
坚定
坚固
坚决
坚强
坚硬
艰巨
艰苦
艰难
艰深
艰险
俭朴
检点
简单
简短
简洁
简练
简陋
简略
简明
简易
见效
贱
健康
健全
健谈
健忘
健壮
僵
僵硬
娇
娇媚
娇嫩
娇娆
娇小
娇羞
娇艳
骄傲
骄横
焦急
狡猾
狡黠
矫健
杰出
洁净
结实
解馋
解恨
矜持
紧
紧凑
紧迫
紧俏
紧张
谨慎
尽心
近
惊诧
惊慌
惊奇
惊人
惊喜
惊讶
精
精辟
精彩
精干
精悍
精练
精美
精密
精明
精巧
精确
精心
精湛
精致
景气
净
静
窘促
窘迫
久
旧
拘谨
拘束
沮丧
具体
剧烈
娟秀
绝对
绝望
倔强
均匀
俊美
俊俏
峻峭
开化
开阔
开朗
开明
开通
开胃
开心
慷慨
苛刻
科学
可爱
可悲
可耻
可恶
可观
可贵
可敬
可靠
可口
可怜
可怕
可体
可惜
可笑
可信
可行
可疑
渴
刻板
刻薄
刻苦
客观
客气
肯定
恳切
空
空泛
空旷
空虚
恐怖
恐慌
恐惧
枯涩
枯燥
苦
苦闷
苦恼
苦涩
快
快活
快乐
宽
宽敞
宽绰
宽大
宽广
宽厚
宽阔
宽松
宽心
宽裕
狂
狂热
狂妄
魁梧
愧疚
困
困惑
困倦
困难
阔
阔绰
阔气
邋遢
辣
辣手
蓝
懒
懒惰
懒散
烂
滥
狼狈
浪漫
劳累
牢
牢固
牢靠
老
老成
老练
老实
潦草
乐观
累
冷
冷淡
冷静
冷酷
冷漠
冷僻
冷清
理想
厉害
利索
连贯
廉洁
凉
凉快
凉爽
亮
亮堂
辽阔
烈
凛冽
吝啬
伶俐
灵便
灵活
灵敏
灵巧
灵验
凌乱
零乱
零散
零碎
流畅
流利
流行
笼统
隆重
鲁莽
露骨
绿
乱
落后
麻利
麻木
马虎
蛮横
满
漫长
慢
忙
忙碌
盲目
莽撞
毛糙
矛盾
茂密
冒失
没趣
美
美好
美丽
美满
美妙
闷
朦胧
猛
猛烈
迷人
迷惘
秘密
密集
密切
勉强
腼腆
苗条
渺茫
渺小
妙
民主
敏感
敏捷
敏锐
名贵
明白
明达
明快
明朗
明亮
明媚
明确
明晰
明显
明智
模糊
摩登
陌生
默契
耐寒
耐磨
耐热
耐心
耐用
难
难得
难过
难堪
难受
难听
难忘
难为情
难闻
内疚
内向
内行
嫩
能干
年轻
宁静
浓
浓厚
浓密
浓郁
努力
暖和
懦弱
偶然
庞大
庞杂
蓬松
皮实
疲惫
疲乏
疲倦
疲劳
疲软
僻静
偏
偏僻
偏心
片面
漂亮
贫乏
贫瘠
贫困
贫穷
频繁
平
平安
平常
平淡
平等
平凡
平和
平衡
平滑
平缓
平缓
平静
平均
平坦
平稳
平庸
平整
泼辣
朴实
朴素
迫切
破
破旧
破烂
破碎
铺张
普遍
普及
普通
凄惨
凄怆
凄凉
齐备
齐全
奇怪
奇妙
奇特
奇异
崎岖
气愤
恰当
牵强
谦卑
谦恭
谦和
谦虚
谦逊
虔诚
浅
浅薄
浅陋
浅显
浅易
纤巧
纤弱
纤细
强
强大
强悍
强横
强劲
强烈
强硬
强壮
抢手
憔悴
巧
巧妙
俏皮
切题
怯懦
怯弱
惬意
亲
亲密
亲昵
亲切
亲热
勤
勤奋
勤俭
勤恳
勤快
勤劳
青
轻
轻薄
轻浮
轻快
轻狂
轻巧
轻柔
轻率
轻松
轻微
轻闲
轻盈
清
清白
清楚
清脆
清淡
清高
清洁
清静
清苦
清廉
清凉
清贫
清爽
清晰
清闲
清新
清醒
清秀
清雅
清正
晴和
晴朗
穷
穷苦
穷困
曲折
屈才
全
全面
缺德
确切
确凿
绕嘴
热
热诚
热乎
热火
热烈
热门
热闹
热情
热心
仁慈
认真
任性
荣幸
容易
融洽
柔和
柔嫩
柔韧
柔软
柔弱
柔顺
肉麻
如意
入神
入神
入时
软
软和
软弱
锐利
弱
洒脱
散
散漫
散漫
扫兴
沙哑
傻
善良
伤感
伤心
上进
上相
少
少见
奢侈
奢华
深
深奥
深沉
深厚
深刻
深切
深入
深远
深重
神秘
神妙
神奇
神气
神圣
审慎
慎重
生动
生僻
生气
生涩
生硬
省力
失常
失望
湿
湿润
时髦
实惠
实际
实用
实在
世故
适时
适用
适中
守旧
瘦
瘦弱
瘦削
瘦小
舒畅
舒服
舒适
舒坦
舒心
疏松
熟
熟练
衰弱
帅
帅气
爽口
爽快
爽快
爽直
顺
顺畅
顺当
顺耳
顺口
顺利
顺手
顺心
顺眼
嘶哑
死
死板
松
松弛
松脆
松快
松软
松散
松懈
酥
酥脆
酥软
俗
肃静
肃穆
素净
素雅
随便
随和
随意
碎
琐碎
踏实
太平
贪婪
坦诚
坦荡
坦率
淘气
特别
特殊
疼痛
体面
天真
恬淡
恬静
甜美
甜蜜
挑剔
调皮
贴切
贴题
贴心
挺拔
挺括
通顺
通俗
统一
痛
痛苦
痛快
痛心
头痛
投缘
透
透彻
透明
突出
突然
团结
颓废
拖沓
妥当
妥善
妥帖
歪
外向
外行
弯
弯曲
完备
完好
完美
完善
完整
顽固
顽皮
顽强
晚
惋惜
婉转
婉转
旺盛
危急
危险
威风
威武
威严
微薄
微妙
微弱
微小
为难
伟大
卫生
温存
温和
温暖
温热
温柔
温顺
温馨
文静
文明
文雅
紊乱
稳
稳当
稳定
稳固
稳妥
稳重
窝囊
龌龊
无聊
无情
无知
妩媚
武断
希罕
稀
稀薄
稀罕
稀奇
稀疏
喜人
喜悦
细
细密
细腻
细弱
细微
细小
细心
细致
狭隘
狭小
狭窄
下贱
下流
吓人
先进
鲜
鲜美
鲜明
鲜嫩
鲜艳
闲
闲散
贤惠
贤淑
咸
显赫
显眼
显要
显著
险恶
险峻
险要
现实
相近
相似
相像
香
香甜
详尽
详实
详细
祥和
响
响亮
像样
消沉
消极
消瘦
萧条
潇洒
嚣张
小
小气
小心
协调
邪
邪恶
斜
懈怠
心虚
辛苦
辛劳
辛勤
辛酸
欣慰
欣喜
新
新奇
新鲜
新颖
兴奋
兴隆
兴盛
兴旺
醒目
幸福
幸运
凶
凶残
凶恶
凶悍
凶狠
凶猛
凶险
雄厚
雄伟
雄壮
羞怯
羞涩
秀丽
秀美
秀气
秀雅
虚
虚荣
虚弱
虚伪
虚心
绚烂
绚丽
寻常
迅猛
迅速
压抑
雅致
严
严格
严谨
严峻
严厉
严密
严肃
严整
严重
炎热
眼热
眼熟
艳
洋气
痒
妖媚
妖艳
妖冶
遥远
要好
要紧
要强
耀眼
野
野蛮
一般
遗憾
疑惑
异常
抑郁
意外
阴暗
阴毒
阴冷
阴凉
阴森
阴险
殷切
殷勤
殷实
淫荡
淫秽
隐蔽
英俊
英明
英武
英勇
硬
硬朗
庸俗
臃肿
勇敢
勇猛
踊跃
用功
用心
优厚
优美
优柔
优秀
优异
优裕
优越
忧愁
忧伤
忧郁
幽暗
幽静
幽默
悠久
悠闲
悠扬
犹豫
油腻
友好
有力
有利
有趣
有限
有效
有益
幼小
幼稚
诱人
迂腐
愉快
愚笨
愚蠢
愚昧
郁闷
郁热
郁悒
冤
渊博
原始
圆
圆滑
圆满
圆润
圆熟
远
远大
悦耳
匀称
匀净
匀整
杂
杂乱
在理
在行
脏乱
糟糕
早
燥热
扎实
扎手
窄
窄小
仗义
胀
珍贵
真
真诚
真切
真实
真挚
镇定
镇静
狰狞
整
整洁
整齐
正
正常
正规
正经
正派
正确
正式
正统
正直
郑重
知心
执著
直
直观
直接
直率
值钱
质朴
中看
中肯
中听
中用
忠诚
忠厚
忠实
重
重要
周到
周密
周全
周详
主动
主观
专断
专横
专心
专一
庄严
庄重
壮
壮观
壮健
壮丽
壮烈
壮美
壮实
准
准确
准时
拙劣
茁壮
卓越
着急
仔细
紫
自爱
自傲
自卑
自大
自负
自豪
自觉
自满
自然
自如
自私
自由
自在
走俏
足
尊贵
